,0,1
0,0.7327265,0.2672735
1,0.758547,0.24145299
2,0.67142963,0.32857034
3,0.69579244,0.3042076
4,0.7637725,0.23622754
5,0.7637725,0.23622754
6,0.7459159,0.2540841
7,0.6974254,0.30257457
8,0.69915545,0.30084458
9,0.74062234,0.25937766
10,0.7626045,0.23739551
11,0.7637725,0.23622754
12,0.7637725,0.23622754
13,0.7037666,0.29623345
14,0.75680774,0.24319227
15,0.7631778,0.23682217
16,0.7327265,0.2672735
17,0.6974254,0.30257457
18,0.7637725,0.23622754
19,0.7555889,0.24441114
20,0.75378567,0.24621433
21,0.7637725,0.23622754
22,0.755036,0.24496403
23,0.75378567,0.24621433
24,0.74032056,0.25967947
25,0.7637725,0.23622754
26,0.7626045,0.23739551
27,0.7608176,0.23918243
28,0.73995066,0.2600493
29,0.75970316,0.24029681
30,0.69579244,0.3042076
31,0.7584536,0.2415464
32,0.7004328,0.2995672
33,0.7637725,0.23622754
34,0.7637725,0.23622754
35,0.6914767,0.30852333
36,0.7637725,0.23622754
37,0.7637725,0.23622754
38,0.7637725,0.23622754
39,0.7425693,0.25743067
40,0.7637725,0.23622754
41,0.72307867,0.27692133
42,0.7631778,0.23682217
43,0.7327265,0.2672735
44,0.7608176,0.23918243
45,0.7637725,0.23622754
46,0.7495861,0.25041392
47,0.7637725,0.23622754
48,0.7626045,0.23739551
49,0.6699296,0.33007035
50,0.72024274,0.27975726
51,0.67142963,0.32857034
52,0.75530696,0.24469307
53,0.7519698,0.24803016
54,0.7327265,0.2672735
55,0.7637725,0.23622754
56,0.73263395,0.26736605
57,0.6699296,0.33007035
58,0.7327265,0.2672735
59,0.73995066,0.2600493
60,0.6699296,0.33007035
61,0.67142963,0.32857034
62,0.7637725,0.23622754
63,0.7624796,0.23752041
64,0.7583351,0.24166492
65,0.7626045,0.23739551
66,0.7637725,0.23622754
67,0.75970316,0.24029681
68,0.7637725,0.23622754
69,0.7594924,0.24050757
70,0.75402004,0.24597998
71,0.7631778,0.23682217
72,0.7637725,0.23622754
73,0.75641674,0.24358326
74,0.7594924,0.24050757
75,0.74693274,0.25306726
76,0.7553997,0.2446003
77,0.7637725,0.23622754
78,0.700877,0.299123
79,0.7637725,0.23622754
80,0.75378567,0.24621433
81,0.7637725,0.23622754
82,0.7637725,0.23622754
83,0.7637725,0.23622754
84,0.6974254,0.30257457
85,0.75970316,0.24029681
86,0.7637725,0.23622754
87,0.7637725,0.23622754
88,0.75390744,0.24609256
89,0.7455698,0.2544302
90,0.72024274,0.27975726
91,0.7287413,0.2712587
92,0.7637725,0.23622754
93,0.75530696,0.24469307
94,0.7637725,0.23622754
95,0.7637725,0.23622754
96,0.72024274,0.27975726
97,0.7626045,0.23739551
98,0.7626045,0.23739551
99,0.7608176,0.23918243
100,0.7637725,0.23622754
101,0.7602614,0.23973857
102,0.75970316,0.24029681
103,0.7637725,0.23622754
104,0.76051354,0.23948649
105,0.7631778,0.23682217
106,0.7608176,0.23918243
107,0.75680774,0.24319227
108,0.7459495,0.25405052
109,0.7624796,0.23752041
110,0.75831217,0.24168785
111,0.7217165,0.27828348
112,0.7626045,0.23739551
113,0.76051354,0.23948649
114,0.7593678,0.2406322
115,0.7637725,0.23622754
116,0.734527,0.265473
117,0.7637725,0.23622754
118,0.7327265,0.2672735
119,0.72024274,0.27975726
120,0.7631778,0.23682217
121,0.7624796,0.23752041
122,0.7631778,0.23682217
123,0.6699296,0.33007035
124,0.7327265,0.2672735
125,0.692304,0.307696
126,0.7343476,0.26565242
127,0.7637725,0.23622754
128,0.6919954,0.30800465
129,0.7626045,0.23739551
130,0.7624796,0.23752041
131,0.75378567,0.24621433
132,0.73394275,0.26605725
133,0.737473,0.26252696
134,0.7637725,0.23622754
135,0.7631778,0.23682217
136,0.69579244,0.3042076
137,0.7637725,0.23622754
138,0.67142963,0.32857034
139,0.7327265,0.2672735
